iter	Passed	Remaining
799	52250	6531
800	52310	6465
801	52369	6399
802	52428	6333
803	52486	6267
804	52551	6201
805	52610	6135
806	52668	6069
807	52729	6003
808	52787	5937
809	52844	5871
810	52903	5805
811	52962	5739
812	53024	5674
813	53082	5608
814	53140	5542
815	53200	5476
816	53260	5410
817	53319	5344
818	53378	5279
819	53437	5213
820	53498	5147
821	53557	5082
822	53615	5016
823	53675	4950
824	53778	4888
825	53886	4827
826	53951	4762
827	54011	4696
828	54068	4630
829	54127	4564
830	54186	4499
831	54246	4433
832	54306	4367
833	54366	4302
834	54427	4236
835	54485	4171
836	54545	4105
837	54604	4039
838	54666	3974
839	54724	3908
840	54783	3843
841	54842	3777
842	54903	3712
843	54962	3646
844	55021	3581
845	55080	3515
846	55138	3450
847	55197	3384
848	55255	3319
849	55315	3253
850	55377	3188
851	55436	3123
852	55494	3057
853	55560	2992
854	55623	2927
855	55683	2862
856	55741	2796
857	55800	2731
858	55865	2666
859	55925	2601
860	55984	2535
861	56044	2470
862	56103	2405
863	56164	2340
864	56220	2274
865	56279	2209
866	56345	2144
867	56402	2079
868	56462	2014
869	56519	1948
870	56581	1883
871	56641	1818
872	56699	1753
873	56759	1688
874	56819	1623
875	56879	1558
876	56936	1493
877	56996	1428
878	57058	1363
879	57116	1298
880	57176	1233
881	57235	1168
882	57296	1103
883	57359	1038
884	57418	973
885	57478	908
886	57535	843
887	57597	778
888	57656	713
889	57712	648
890	57774	583
891	57832	518
892	57889	453
893	57948	388
894	58008	324
895	58068	259
896	58124	194
897	58187	129
898	58249	64
899	58307	0
